Trial,Station Type,Station Quantity,Name,Algorithm,Distance,Epsilon,Minimum Points,Metric,Method,Fit_Predict,Cluster Count,Clustered Station Count,Unclsutered Noise Count,Silhouette Coefficient,Calinski Harabaz score,Davies Bouldin score,Dunn Index
67,EH,118,OPTICS,Auto,20.0,0.003172584,3,haversine,Xi,TRUE/FALSE,7,41,77,-0.2604,3.4781,1.9248,0.0090
68,EH,118,OPTICS,Auto,30.0,0.004758877,3,haversine,Xi,TRUE/FALSE,8,53,65,-0.1507,4.9389,1.7185,0.0090
69,EH,118,OPTICS,Auto,40.0,0.006345169,3,haversine,Xi,TRUE/FALSE,12,73,45,-0.0660,6.7098,1.6990,0.0102
70,EH,118,OPTICS,Auto,50.0,0.007931461,3,haversine,Xi,TRUE/FALSE,12,74,44,-0.0575,7.0046,1.7133,0.0102
71,EH,118,OPTICS,Auto,10.0,0.001586292,4,haversine,Xi,TRUE/FALSE,1,6,112,None,None,None,None
72,EH,118,OPTICS,Auto,20.0,0.003172584,4,haversine,Xi,TRUE/FALSE,5,34,84,-0.1946,3.6510,2.1333,0.0077
73,EH,118,OPTICS,Auto,30.0,0.004758877,4,haversine,Xi,TRUE/FALSE,5,42,76,-0.1349,5.9907,1.7716,0.0077
74,EH,118,OPTICS,Auto,40.0,0.006345169,4,haversine,Xi,TRUE/FALSE,8,61,57,-0.1477,7.8095,1.5048,0.0086
75,EH,118,OPTICS,Auto,50.0,0.007931461,4,haversine,Xi,TRUE/FALSE,9,64,54,-0.1289,7.9077,1.4877,0.0086
76,EH,118,OPTICS,Auto,10.0,0.001586292,5,haversine,Xi,TRUE/FALSE,1,5,113,None,None,None,None
77,EH,118,OPTICS,Auto,20.0,0.003172584,5,haversine,Xi,TRUE/FALSE,4,29,89,-0.2376,4.0481,2.3216,0.0077
78,EH,118,OPTICS,Auto,30.0,0.004758877,5,haversine,Xi,TRUE/FALSE,4,37,81,-0.1512,6.2204,2.0699,0.0077
79,EH,118,OPTICS,Auto,40.0,0.006345169,5,haversine,Xi,TRUE/FALSE,6,69,49,-0.1087,9.8830,1.9727,0.0077
80,EH,118,OPTICS,Auto,50.0,0.007931461,5,haversine,Xi,TRUE/FALSE,6,57,61,-0.1313,6.6195,2.2462,0.0077
