Trial,Station Type,Station Quantity,Name,Algorithm,Distance,Epsilon,Minimum Points,Metric,Method,Fit_Predict,Cluster Count,Clustered Station Count,Unclsutered Noise Count,Modularity,Conductance Average,Coverage Score,Performance Score
60,EH,118,LPA,None,50,0.007931461,5,haversine,None,None,9,104,14,0.6665,0.1428,0.9263,0.9483
61,EH,118,GREEDY,None,10,0.001586292,2,haversine,None,None,9,23,95,0.6863,0.0486,0.95,0.9994
62,EH,118,GREEDY,None,20,0.003172584,2,haversine,None,None,7,53,65,0.7024,0.051,0.9787,0.9751
63,EH,118,GREEDY,None,30,0.004758877,2,haversine,None,None,16,94,24,0.7235,0.0244,0.9558,0.9683
64,EH,118,GREEDY,None,40,0.006345169,2,haversine,None,None,11,109,9,0.7121,0.0212,0.9753,0.9248
65,EH,118,GREEDY,None,50,0.007931461,2,haversine,None,None,10,114,4,0.6679,0.0389,0.9474,0.8947
66,EH,118,GREEDY,None,10,0.001586292,3,haversine,None,None,3,11,107,0.6863,0.0263,0.95,0.9994
67,EH,118,GREEDY,None,20,0.003172584,3,haversine,None,None,6,51,67,0.7024,0.0595,0.9787,0.9751
68,EH,118,GREEDY,None,30,0.004758877,3,haversine,None,None,11,84,34,0.7235,0.0355,0.9558,0.9683
69,EH,118,GREEDY,None,40,0.006345169,3,haversine,None,None,8,103,15,0.7121,0.0292,0.9753,0.9248
70,EH,118,GREEDY,None,50,0.007931461,3,haversine,None,None,7,108,10,0.6679,0.0555,0.9474,0.8947
71,EH,118,GREEDY,None,10,0.001586292,4,haversine,None,None,1,5,113,0.6863,0.0789,0.95,0.9994
72,EH,118,GREEDY,None,20,0.003172584,4,haversine,None,None,4,45,73,0.7024,0.0072,0.9787,0.9751
73,EH,118,GREEDY,None,30,0.004758877,4,haversine,None,None,8,75,43,0.7235,0.0488,0.9558,0.9683
74,EH,118,GREEDY,None,40,0.006345169,4,haversine,None,None,7,100,18,0.7121,0.0334,0.9753,0.9248
75,EH,118,GREEDY,None,50,0.007931461,4,haversine,None,None,7,108,10,0.6679,0.0555,0.9474,0.8947
76,EH,118,GREEDY,None,10,0.001586292,5,haversine,None,None,1,5,113,0.6863,0.0789,0.95,0.9994
77,EH,118,GREEDY,None,20,0.003172584,5,haversine,None,None,4,45,73,0.7024,0.0072,0.9787,0.9751
78,EH,118,GREEDY,None,30,0.004758877,5,haversine,None,None,7,71,47,0.7235,0.0557,0.9558,0.9683
79,EH,118,GREEDY,None,40,0.006345169,5,haversine,None,None,7,100,18,0.7121,0.0334,0.9753,0.9248
80,EH,118,GREEDY,None,50,0.007931461,5,haversine,None,None,6,104,14,0.6679,0.0648,0.9474,0.8947
81,EH,118,NAIVE-GREEDY,None,10,0.001586292,2,haversine,None,None,9,23,95,0.6863,0.0486,0.95,0.9994
82,EH,118,NAIVE-GREEDY,None,20,0.003172584,2,haversine,None,None,7,53,65,0.7024,0.051,0.9787,0.9751
83,EH,118,NAIVE-GREEDY,None,30,0.004758877,2,haversine,None,None,16,95,23,0.7235,0.0244,0.9558,0.9662
84,EH,118,NAIVE-GREEDY,None,40,0.006345169,2,haversine,None,None,11,109,9,0.7121,0.0212,0.9753,0.9248
85,EH,118,NAIVE-GREEDY,None,50,0.007931461,2,haversine,None,None,10,114,4,0.6679,0.0389,0.9474,0.8947
86,EH,118,NAIVE-GREEDY,None,10,0.001586292,3,haversine,None,None,3,11,107,0.6863,0.0263,0.95,0.9994
87,EH,118,NAIVE-GREEDY,None,20,0.003172584,3,haversine,None,None,6,51,67,0.7024,0.0595,0.9787,0.9751
88,EH,118,NAIVE-GREEDY,None,30,0.004758877,3,haversine,None,None,11,85,33,0.7235,0.0355,0.9558,0.9662
