Sequence,Station Types,Station Quantity,Maximum Distance,Minimum Points,Name,Algorithm,Metric,Method,Seed,Generated Cluster Count,Valid Cluster Count,Clustered Station Count,Unclsutered Noise Count,Average Node Degree,Silhouette Coefficient,Calinski Harabaz score,Davies Bouldin score,Dunn Index,Modularity,Conductance Average,Coverage Score,Performance Score
36,['HN' 'LN'],281,20.0,5,HDBSCAN,best,haversine,eom,None,4,4,97,184,31.7113402062,-0.106698147282,12.4243652429,1.85271550212,0.00351692137303,0.371434304999,0.323598423575,0.672319806178,0.976664972039
37,['HN' 'LN'],281,30.0,5,HDBSCAN,best,haversine,eom,None,6,6,130,151,29.5769230769,-0.0662794586641,18.0606863118,1.40781531593,0.00351692137303,0.389368709102,0.26669246895,0.688780487805,0.958591764108
38,['HN' 'LN'],281,40.0,5,HDBSCAN,best,haversine,eom,None,5,5,124,157,36.0403225806,-0.0626462834217,13.7359074812,1.8159583423,0.00351692137303,0.385119841099,0.415124855119,0.668009669621,0.960269445857
39,['HN' 'LN'],281,50.0,5,HDBSCAN,best,haversine,eom,None,7,7,157,124,34.7770700637,0.0175575796148,13.8913919594,1.95455628065,0.00351692137303,0.402285397317,0.383753202171,0.668122270742,0.95871886121
40,['HN' 'LN'],281,10.0,2,HDBSCAN,best,haversine,leaf,None,11,11,101,180,10.5445544554,-0.256848870134,5.85522689629,2.58415298019,0.000393752782259,0.356602554735,0.0,0.548969072165,0.984011184545
41,['HN' 'LN'],281,20.0,2,HDBSCAN,best,haversine,leaf,None,29,29,131,150,24.3053435115,-0.154498193311,3.64031689131,2.11354444311,0.000393752782259,0.295104815062,0.70243560842,0.50030284676,0.978215556685
42,['HN' 'LN'],281,30.0,2,HDBSCAN,best,haversine,leaf,None,44,44,187,94,21.6096256684,-0.0043653869466,3.98209126353,5.22156165408,0.000406666942625,0.309682807852,0.610287897885,0.498048780488,0.971606507372
43,['HN' 'LN'],281,40.0,2,HDBSCAN,best,haversine,leaf,None,56,56,227,54,21.5814977974,0.0936760165193,6.69400533725,2.66172263931,0.000406666942625,0.289118884007,0.66369987874,0.450846091861,0.964056939502
44,['HN' 'LN'],281,50.0,2,HDBSCAN,best,haversine,leaf,None,58,58,263,18,22.536121673,0.0826977938744,20.9632604444,2.64767544674,0.000437227557833,0.285404651426,0.676654553497,0.431306684582,0.950076258261
45,['HN' 'LN'],281,10.0,3,HDBSCAN,best,haversine,leaf,None,36,36,244,37,6.35245901639,0.00302288316515,22.4160175437,2.48328884568,0.000566287424054,0.486934052503,0.0,0.697164948454,0.979842399593
